theorem,mutant,result,encoding,nunchaku,recovery
List.replicate_succ,0,UNSAT,3,704,0
List.headD_cons,0,UNSAT,5,54,0
List.zipWithAll_nil,0,UNSAT,12,53,0
List.idxOf_nil,0,UNSAT,7,102,0
List.tail?_cons,0,UNSAT,4,805,0
List.zipWith_cons_cons,0,UNSAT,16,53,0
List.intersperse_nil,0,UNSAT,9,3359,0
List.dropLast_singleton,0,UNSAT,11,54,0
List.cons_lex_nil,0,UNSAT,8,53,0
List.intersperse_cons₂,0,UNSAT,13,104,0
List.and_nil,0,UNSAT,6,54,0
List.unzip_nil,0,UNSAT,13,55,0
List.range_zero,0,UNSAT,9,55,0
List.eraseIdx_nil,0,UNSAT,7,54,1
List.findSome?_cons,0,UNSAT,15,105,0
List.findIdx_nil,0,UNSAT,18,108,0
List.mem_of_elem_eq_true,0,UNKNOWN,88,11109,0
List.any_cons,0,UNSAT,4,52,0
List.length_add_eq_lengthTRAux,0,UNKNOWN,6,11077,0
List.drop_zero,0,UNSAT,7,54,1
List.replicate_zero,0,UNSAT,5,52,0
List.append_eq,0,UNSAT,2,52,1
List.replicateTR_loop_eq,0,UNKNOWN,3,10279,1
List.nil_lex_nil,0,UNSAT,9,54,0
List.filter_eq_filterTR,0,UNKNOWN,8,11086,0
List.isSuffixOf_nil_left,0,UNSAT,10,152,1
List.drop_nil,0,UNSAT,4,53,0
List.isEqv_nil_nil,0,UNSAT,8,53,0
List.beq_nil_cons,0,UNSAT,9,2409,0
List.zip_cons_cons,0,UNSAT,12,5162,0
List.length_concat,0,UNKNOWN,8,10224,0
List.instLawfulBEq,0,UNKNOWN,21,11078,0
List.flatMap_cons,0,UNSAT,5,103,0
List.reverse_cons,0,UNKNOWN,3,10276,0
List.getLastD_nil,0,UNSAT,4,53,1
List.lookup_cons,0,UNSAT,14,53,0
List.length_singleton,0,UNSAT,4,53,0
List.foldl_cons,0,UNSAT,5,53,1
List.rotateRight_nil,0,UNSAT,25,1360,0
List.isPrefixOf_nil_left,0,UNSAT,19,54,0
List.zipWithAll_cons_cons,0,UNSAT,11,54,0
